log_worked=true
source_log_lines=1430
total_result_lines=128
project_translation_units=24
project_cache_decisions=24
project_cache_hits=0
project_cache_misses=24
project_other_stage_results=24
project_cache_miss_pct=100.00

source	stage	output	hash_key	outcome
autogen/src/cuda/fna/source_41.cu	cubin	source_41.cubin	50c85a2f4d4c11697e5c91c686c8596bde663389a93ad7686dd58f4b3bed3508	cache miss
autogen/src/cuda/fna/source_41.cu	host	source_41.cu.o	057c827209a2e9e26b1b75a873fa52596ceb52b51af471d380ffb4816f6badf5	cache miss
autogen/src/cuda/fna/source_51.cu	nvcc_outer	source_51.cu.o	d44af2fc8a0ca95f0055b3e824e3f7e36f77805e6fdbf0643faf0bcf9104ee0c	not cacheable
autogen/src/cuda/fna/source_51.cu	module_id	source_51.module_id	9fbe03aa6bb9b2614b58a000de01c88071dc85d5eaaabd68b361c54914d6100d	cache miss
autogen/src/cuda/fna/source_51.cu	ptx	source_51.ptx	7b15d3306cfd361457c49c7b2bb5126770f7a78ae9689be8caf236ecab274109	cache miss
autogen/src/cuda/fna/source_51.cu	cubin	source_51.cubin	4ecee1b48e285848c8468d9070ff9fa38219daa2d10d6bb83c30b2582d30d0fa	cache miss
autogen/src/cuda/fna/source_51.cu	host	source_51.cu.o	1ba5462ed6f2874aed7cfb0b5dd74ab66326f39c238cc7ea171bb570b48e4f46	cache miss
autogen/src/cuda/fna/source_61.cu	nvcc_outer	source_61.cu.o	a9ed9248ab78862ed7f888620464d2404110952d875a75e7b5e87d90877cff05	not cacheable
autogen/src/cuda/fna/source_61.cu	module_id	source_61.module_id	4601e40ef73f3fe4f8bbdd46af91a0c959efb89149f2d4d585b9cd3150b72acc	cache miss
autogen/src/cuda/fna/source_61.cu	ptx	source_61.ptx	15f4f6463a98c653d79cffcecf2ff15d3339fe4705083cda9d513db212574b67	cache miss
autogen/src/cuda/fna/source_61.cu	cubin	source_61.cubin	bbdcf0539b076f06aba2f9e021445b6cbf1861af4bce6092f12ee9987e71e42f	cache miss
autogen/src/cuda/fna/source_61.cu	host	source_61.cu.o	9e97cb3fa413d78f6604356259e97ce9ba5686d740370c7415c8d2a078a6f989	cache miss
autogen/src/cuda/fna/source_71.cu	nvcc_outer	source_71.cu.o	2231349d14aa45ebf2710541dfa0e36dec6c6da8d701466863941daed300bb5a	not cacheable
autogen/src/cuda/fna/source_71.cu	module_id	source_71.module_id	a73f56c9d2f1888b14c0c39a3e3f15cd4f535db4681405c4777873bc6c7e4240	cache miss
autogen/src/cuda/fna/source_71.cu	ptx	source_71.ptx	fd04bdc983529c25058b8f4e80ff6bd293a4d5f2957efe26a76bfb25dcf688bb	cache miss
autogen/src/cuda/fna/source_71.cu	cubin	source_71.cubin	ddeef0e3939363cf09c22e3c4cefdf5be3b525eca6d63cb8fc778203380c4ad0	cache miss
autogen/src/cuda/fna/source_71.cu	host	source_71.cu.o	80ba8d31b1d4722fed541eb1c03578d1f659b4a6ee31fe9f93494f7c69a87b0e	cache miss
autogen/src/cuda/fna/source_81.cu	nvcc_outer	source_81.cu.o	05691f266529f122e445b0f2eb4474142e0f8e45771723fb53cfde1f99c18f0a	not cacheable
autogen/src/cuda/fna/source_81.cu	module_id	source_81.module_id	304093205109be755683e7b771ea415ae4a928b092d6cc97b4287d82ef0d2a3b	cache miss
autogen/src/cuda/fna/source_81.cu	ptx	source_81.ptx	0cd6dc303c43b601186d35c84b458b48a27e9e5406c1d0b1a1a69e94258bb525	cache miss
autogen/src/cuda/fna/source_81.cu	cubin	source_81.cubin	0a4523aa4f0b5d14a04fc5e33b5565f1a5e3467c1c33bcb9f10f81153ad7e970	cache miss
autogen/src/cuda/fna/source_81.cu	host	source_81.cu.o	e57974513ff82a8808e52227c8c6ea36c9a94bf6274f24ea759bf743f2c1d84e	cache miss
autogen/src/cuda/fna/source_91.cu	nvcc_outer	source_91.cu.o	c0ad91a82f240a970c89eb78aac830ab4426ad94f3407431f6f393fee5ad0a7f	not cacheable
autogen/src/cuda/fna/source_91.cu	module_id	source_91.module_id	1271d224152891414825ba57dbdaae8c991e1f7329455c32d6f324264ed1598e	cache miss
autogen/src/cuda/fna/source_91.cu	ptx	source_91.ptx	cde875f3f0237f10f2b48f2aba275f019cada9694f6283aee7eee1345fe890c2	cache miss
autogen/src/cuda/fna/source_91.cu	cubin	source_91.cubin	4aa5447297c321c3e54524948d47609bbfa5e2d268172cd28001afd4ba26d7cb	cache miss
autogen/src/cuda/fna/source_91.cu	host	source_91.cu.o	2dc7af8cffdc13c95f01ffcf2b489cd30184937c5ef2f8ba2679e112eb37fbe3	cache miss
autogen/src/cuda/hopper_fmha/source_2.cu	nvcc_outer	source_2.cu.o	7c52735a91f7676626b5e09c06e56915f9b98c3f562ce010fdde853bd8f61cb5	not cacheable
autogen/src/cuda/hopper_fmha/source_2.cu	module_id	source_2.module_id	33ec0dbc786562eb40ea0ce4cd44c43f4a03af5e62525a946cb0c5804eb63460	cache miss
autogen/src/cuda/hopper_fmha/source_2.cu	ptx	source_2.ptx	f92f415b3eb8bf437b0cc3435ed9ba3abacc30f7a9901783e9411f1578016391	cache miss
autogen/src/cuda/hopper_fmha/source_2.cu	cubin	source_2.cubin	ed0a2558c10fc8f87c85303b287e2eb63ea6328aa5a9080bbc1d454c6412405e	cache miss
autogen/src/cuda/hopper_fmha/source_2.cu	host	source_2.cu.o	488766ecdb6d0a82b8fe5a994299a3a8e623562223d6fe95d8f001cdffe13ea0	cache miss
autogen/src/cuda/hopper_fmha_bwd/source_2.cu	nvcc_outer	source_2.cu.o	3c7a0f4a4511a1d5db79c6e29b7f6844ded5ba9a22f887b3a40e9c8c0a596786	not cacheable
autogen/src/cuda/hopper_fmha_bwd/source_2.cu	module_id	source_2.module_id	15f763f1dea9581a8e5e5f792bced82c3a74a050ab4d6c66eaf0913cc3246dfe	cache miss
autogen/src/cuda/hopper_fmha_bwd/source_2.cu	ptx	source_2.ptx	3cc9e478839c07c8f1e27176a29e69c8afc7f947e88401919f9b0700f093010d	cache miss
autogen/src/cuda/hopper_fmha_bwd/source_2.cu	cubin	source_2.cubin	c10008848a59629f9aab610b5eefbb78f42ceeb8327bf13ff0bc9cc701d86ad4	cache miss
autogen/src/cuda/hopper_fmha_bwd/source_2.cu	host	source_2.cu.o	c0811d9b96601cde834a99837cdb588f9b4b6f5e1b6762ed6531448a577f0f62	cache miss
autogen/src/cuda/hopper_fna/source_14.cu	nvcc_outer	source_14.cu.o	aec21888be9812bd35bf768dd9afb59a11170f0d83c39225047c140c23908973	not cacheable
autogen/src/cuda/hopper_fna/source_14.cu	module_id	source_14.module_id	ecaa0f069f967700f84fa5e303ff3e978ed7583053480fd27bfb8ba022e6ac5f	cache miss
autogen/src/cuda/hopper_fna/source_14.cu	ptx	source_14.ptx	609c9b4a0d70652aaf4ac8400722e81a33c3eacaa149794199db038da29c06ad	cache miss
autogen/src/cuda/hopper_fna/source_14.cu	cubin	source_14.cubin	cfc8e67e70036944fa2ab276582f04a8560c63b76e4c12c4384c6d55c4abe6cc	cache miss
autogen/src/cuda/hopper_fna/source_14.cu	host	source_14.cu.o	5d19ff750bf090dd722e380ae8a5ade8617794be03a493a33eac9b66e1b748cf	cache miss
autogen/src/cuda/hopper_fna/source_7.cu	nvcc_outer	source_7.cu.o	7a3bbba9432932fa1ba7a64494c33b9b6c4948f2f7787f53c0a06e301cf6f941	not cacheable
autogen/src/cuda/hopper_fna/source_7.cu	module_id	source_7.module_id	bd737d56d631d2c73ee864cf7d4fab7dd198dec33c30170cea2c99780e36d915	cache miss
autogen/src/cuda/hopper_fna/source_7.cu	ptx	source_7.ptx	631e57f35b8a899f80a878ce5ffee246e2b8204ce03d185f34435d4d98fa60a8	cache miss
autogen/src/cuda/hopper_fna/source_7.cu	cubin	source_7.cubin	5217959fa072be589c2e15ecdbeffab036c0e56ff33734c0ea735a607522976a	cache miss
autogen/src/cuda/hopper_fna/source_7.cu	host	source_7.cu.o	8db28a49125fb87a91728ec9f346f199f09545056b4b1dacb6d8f58be91f2e09	cache miss
autogen/src/cuda/hopper_fna_bwd/source_0.cu	nvcc_outer	source_0.cu.o	9ad698ecdd8c805d787f5565eac6202d39bf438a42ea84ce15a9fdf5f14b86cc	not cacheable
autogen/src/cuda/hopper_fna_bwd/source_0.cu	module_id	source_0.module_id	1827fc928ebc3bf60cdfef32f04192ebe084c9e77d227e4c163599a45c337915	cache miss
autogen/src/cuda/hopper_fna_bwd/source_0.cu	ptx	source_0.ptx	0a53754a77b6891352ef8083078b3878c5eb9c542ffe3a61ea5fb78b14a28593	cache miss
autogen/src/cuda/hopper_fna_bwd/source_0.cu	cubin	source_0.cubin	f39747b9b7f8a39f45b1b4d05085f308a82d97143cf416a30560e74da56d57cb	cache miss
autogen/src/cuda/hopper_fna_bwd/source_0.cu	host	source_0.cu.o	d307bcb0f3e8a7448e4ab1beaeeb99e3af9b46290d640ea947a1952d44b7bc80	cache miss
autogen/src/cuda/reference/source_0.cu	nvcc_outer	source_0.cu.o	63252f7db4ed93fffd89f6d10804451dcb3cf2717349558ec0c9c0a83f90cfea	not cacheable
autogen/src/cuda/reference/source_0.cu	module_id	source_0.module_id	3e6a3ec468550d69faaa9800445f4f70665f6e05f76c84a3e7cb177bd197ac59	cache miss
autogen/src/cuda/reference/source_0.cu	ptx	source_0.ptx	45435c83935f15fd01dfef19a4b894b2ec13abb573dd360827450989622f3ff6	cache miss
autogen/src/cuda/reference/source_0.cu	cubin	source_0.cubin	f649d0a5a1cdb00978d2318861c993f50462c64eef72d9340171de409fbd67d0	cache miss
autogen/src/cuda/reference/source_0.cu	host	source_0.cu.o	0a232fd080d29958f5f3bb03f1701941a994183ca55aca554bda28ccd6e09526	cache miss
src/fmha.cu	nvcc_outer	fmha.cu.o	90f4e78184b729c50b9c7e82ee2bf58edd916dd05428882b27a1be6d1cd80670	not cacheable
src/fmha.cu	module_id	fmha.module_id	f4e4377181b319745cb904f9689587d296c0eca6aa771a9633cc463f1aff465e	cache miss
src/fmha.cu	ptx	fmha.ptx	8db94659f03588404455cbcad2fc438304fe8573b95912668ca0a70e0b3f9be3	cache miss
src/fmha.cu	cubin	fmha.cubin	79c5e8d1debb403046798fcb1baea3055b81a75b868e9f13a773b534589685d8	cache miss
src/fmha.cu	host	fmha.cu.o	c83a671afe5aa3c875474b982fb5fdc14d07c1a5d90d9de2d3c583607af45202	cache miss
src/hopper_fna_backward.cu	nvcc_outer	hopper_fna_backward.cu.o	99ad2958cf201b9fedef4e71ca819ffcccbba15594e045dd8e27056f4980dd4c	not cacheable
src/hopper_fna_backward.cu	module_id	hopper_fna_backward.module_id	5a2e70f915077d80a5229dc653e20b6a8176c73324a7d3c4676e36782d00aad0	cache miss
src/hopper_fna_backward.cu	ptx	hopper_fna_backward.ptx	8051c84b02bbc2cf2dc2cd92f87b8a65dfd848bcde0f2373b4d4dc564a73baf4	cache miss
src/hopper_fna_backward.cu	cubin	hopper_fna_backward.cubin	2bfe6846e196aea3a1557be5cacd90dcc0f1bbe24ece4f9e6f840512c1c89363	cache miss
src/hopper_fna_backward.cu	host	hopper_fna_backward.cu.o	588ff2bb6bdfa366ebc82b61d0cd2bb5e58d3812687be3da325ddbee012a2578	cache miss
